Competicion,Jornada,Fecha,Equipo local,Equipo visitante,Goles local,Goles visitante
Laliga Santander,Jornada 31,25/04/2023,Cadiz,Osasuna,0,0
Laliga Santander,Jornada 31,25/04/2023,Girona,Real Madrid,0,0
Laliga Santander,Jornada 31,25/04/2023,Betis,R. Sociedad,0,0
Premier League,Jornada 33,25/04/2023,Wolves,Crystal Palace,0,0
Premier League,Jornada 33,25/04/2023,Aston Villa,Fulham,0,0
Premier League,Jornada 33,25/04/2023,Leeds,Leicester,0,0
Laliga Smartbank,Jornada 37,24/04/2023,Huesca,Tenerife,0,0
Serie A,Jornada 31,24/04/2023,Atalanta,Roma,0,0
Superliga Turquia,Jornada 31,24/04/2023,Giresunspor,Basaksehir,0,0
Superliga Turquia,Jornada 31,24/04/2023,Antalyaspor,Sivasspor,0,0
Superliga Turquia,Jornada 31,24/04/2023,Fenerbahce,Istanbulspor,0,0
Laliga Santander,Jornada 30,23/04/2023,Elche,Valencia,0,2
Laliga Santander,Jornada 30,23/04/2023,Barcelona,Atletico,1,0
Laliga Santander,Jornada 30,23/04/2023,Mallorca,Getafe,3,1
Laliga Santander,Jornada 30,23/04/2023,Sevilla,Villarreal,2,1
Laliga Smartbank,Jornada 37,23/04/2023,Lugo,Malaga,0,2
Laliga Smartbank,Jornada 37,23/04/2023,Mirandes,Burgos Cf,2,1
Laliga Smartbank,Jornada 37,23/04/2023,Racing,Granada,1,0
Laliga Smartbank,Jornada 37,23/04/2023,Alaves,Leganes,2,1
Premier League,Jornada 32,23/04/2023,Bournemouth,West Ham,0,4
Premier League,Jornada 32,23/04/2023,Newcastle,Tottenham,6,1
Serie A,Jornada 31,23/04/2023,Empoli,Inter,0,3
Serie A,Jornada 31,23/04/2023,Monza,Fiorentina,3,2
Serie A,Jornada 31,23/04/2023,Udinese,Cremonese,3,0
Serie A,Jornada 31,23/04/2023,Milan,Lecce,2,0
Serie A,Jornada 31,23/04/2023,Juventus,Napoles,0,1
Bundesliga,Jornada 29,23/04/2023,Friburgo,Schalke 04,4,0
Bundesliga,Jornada 29,23/04/2023,Leverkusen,Rb Leipzig,2,0
Bundesliga,Jornada 29,23/04/2023,B. Mgladbach,Union Berlin,0,1
Ligue 1,Jornada 32,23/04/2023,Stade De Reims,Estrasburgo,0,2
Ligue 1,Jornada 32,23/04/2023,Nantes,Troyes,2,2
Ligue 1,Jornada 32,23/04/2023,Niza,Clermont,1,2
Ligue 1,Jornada 32,23/04/2023,Lorient,Toulouse,0,1
Ligue 1,Jornada 32,23/04/2023,Gazelec Ajaccio,Brest,0,0
Ligue 1,Jornada 32,23/04/2023,Montpellier,Rennes,1,0
Ligue 1,Jornada 32,23/04/2023,Lyon,Marsella,1,2
Superliga Turquia,Jornada 31,23/04/2023,Kasimpasa,Konyaspor,1,2
Superliga Turquia,Jornada 31,23/04/2023,Adanaspor,Kayserispor,5,3
Superliga Turquia,Jornada 31,23/04/2023,Galatasaray,Fatih Karagumruk,3,3
Superliga Turquia,Jornada 31,23/04/2023,Gaziantep Fk,Alanyaspor,0,3
Superliga Turquia,Jornada 31,23/04/2023,Hatayspor,Ankaragucu,0,3
Laliga Santander,Jornada 30,22/04/2023,Osasuna,Betis,3,2
Laliga Santander,Jornada 30,22/04/2023,Almeria,Athletic,1,2
Laliga Santander,Jornada 30,22/04/2023,R. Sociedad,Rayo,2,1
Laliga Santander,Jornada 30,22/04/2023,Real Valladolid,Girona,1,0
Laliga Santander,Jornada 30,22/04/2023,Real Madrid,Celta,2,0
Laliga Smartbank,Jornada 37,22/04/2023,Villarreal B,Albacete,1,2
Laliga Smartbank,Jornada 37,22/04/2023,Cartagena,Sporting,2,1
Laliga Smartbank,Jornada 37,22/04/2023,Ponferradina,Andorra,1,4
Laliga Smartbank,Jornada 37,22/04/2023,Las Palmas,Levante,0,0
Laliga Smartbank,Jornada 37,22/04/2023,Ud Ibiza-Eivissa,Oviedo,1,2
Premier League,Jornada 32,22/04/2023,Fulham,Leeds,2,1
Premier League,Jornada 32,22/04/2023,Brentford,Aston Villa,1,1
Premier League,Jornada 32,22/04/2023,Crystal Palace,Everton,0,0
Premier League,Jornada 32,22/04/2023,Leicester,Wolves,2,1
Premier League,Jornada 32,22/04/2023,Liverpool,Nottingham Forest,3,2
Serie A,Jornada 31,22/04/2023,Salernitana,Sassuolo,3,0
Serie A,Jornada 31,22/04/2023,Lazio,Torino,0,1
Serie A,Jornada 31,22/04/2023,Sampdoria,Spezia,1,1
Bundesliga,Jornada 29,22/04/2023,Mainz 05,Bayern,3,1
Bundesliga,Jornada 29,22/04/2023,Bochum,Wolfsburgo,1,5
Bundesliga,Jornada 29,22/04/2023,Hoffenheim,Colonia,1,3
Bundesliga,Jornada 29,22/04/2023,Hertha,W. Bremen,2,4
Bundesliga,Jornada 29,22/04/2023,B. Dortmund,Eintracht Fr.,4,0
Ligue 1,Jornada 32,22/04/2023,Auxerre,Lille,1,1
Ligue 1,Jornada 32,22/04/2023,Lens,Monaco,3,0
Superliga Turquia,Jornada 31,22/04/2023,Umraniyespor,Besiktas,0,2
Laliga Santander,Jornada 30,21/04/2023,Espanyol,Cadiz,0,0
Laliga Smartbank,Jornada 37,21/04/2023,Eibar,Real Zaragoza,1,1
Premier League,Jornada 32,21/04/2023,Arsenal,Southampton,3,3
Serie A,Jornada 31,21/04/2023,Verona,Bolonia,2,1
Bundesliga,Jornada 29,21/04/2023,Augsburgo,Stuttgart,1,1
Ligue 1,Jornada 32,21/04/2023,Angers,Psg,1,2
Europa League,Cuartos,20/04/2023,Roma,Feyenoord,4,1
Europa League,Cuartos,20/04/2023,Sp. Portugal,Juventus,1,1
Europa League,Cuartos,20/04/2023,Sevilla,M. United,3,0
Europa League,Cuartos,20/04/2023,Union St-Gilloise,Leverkusen,1,4
